case_type,track_id,label_index,label,true,bert_probability,bert_prediction,fusion_probability,fusion_prediction,fusion_minus_bert_probability
correct_high_confidence,mc_PIIAyM4H1UE_100_110,0,low quality,0,0.058560825884342194,0,0.0011191510129719973,0,-0.057441674871370196
correct_high_confidence,mc_PIIAyM4H1UE_100_110,1,instrumental,1,0.8524448275566101,1,0.9863283038139343,1,0.13388347625732422
correct_high_confidence,mc_PIIAyM4H1UE_100_110,2,medium tempo,0,0.0511774942278862,0,0.00043675638153217733,0,-0.05074073784635402
correct_high_confidence,mc_PIIAyM4H1UE_100_110,3,fast tempo,0,0.1114344522356987,0,0.005358139984309673,0,-0.10607631225138903
correct_high_confidence,mc_PIIAyM4H1UE_100_110,4,noisy,0,0.02964751049876213,0,0.00012662190420087427,0,-0.029520888594561256
correct_high_confidence,mc_PIIAyM4H1UE_100_110,5,emotional,0,0.023109277710318565,0,1.0377756325397058e-06,0,-0.023108239934686026
correct_high_confidence,mc_PIIAyM4H1UE_100_110,6,energetic,0,0.10576342046260834,0,0.0016056608874350786,0,-0.10415775957517326
correct_high_confidence,mc_PIIAyM4H1UE_100_110,7,passionate,0,0.02437659725546837,0,0.00016935213352553546,0,-0.024207245121942833
correct_high_confidence,mc_PIIAyM4H1UE_100_110,8,amateur recording,0,0.03252822533249855,0,4.7763565817149356e-05,0,-0.0324804617666814
correct_high_confidence,mc_PIIAyM4H1UE_100_110,9,bass guitar,0,0.02437659725546837,0,7.707244549237657e-06,0,-0.02436889001091913
correct_high_confidence,mc_PIIAyM4H1UE_100_110,10,electric guitar,0,0.0511774942278862,0,6.952516287128674e-06,0,-0.05117054171159907
correct_high_confidence,mc_PIIAyM4H1UE_100_110,11,live performance,0,0.056966383010149,0,0.0013403791235759854,0,-0.05562600388657302
correct_high_confidence,mc_PIIAyM4H1UE_100_110,12,slow tempo,0,0.06108710914850235,0,6.671372830169275e-05,0,-0.06102039542020066
correct_high_confidence,mc_PIIAyM4H1UE_100_110,13,male vocal,0,0.018941707909107208,0,2.547751591919223e-07,0,-0.018941453133948016
correct_high_confidence,mc_PIIAyM4H1UE_100_110,14,mono,0,0.028707079589366913,0,7.6150777204020415e-06,0,-0.02869946451164651
correct_high_confidence,mc_PIIAyM4H1UE_100_110,15,acoustic drums,0,0.022499969229102135,0,7.318669190681248e-07,0,-0.022499237362183067
correct_high_confidence,mc_PIIAyM4H1UE_100_110,16,groovy,0,0.10070161521434784,0,0.0009467052877880633,0,-0.09975490992655978
correct_high_confidence,mc_PIIAyM4H1UE_100_110,17,no voices,0,0.04038906842470169,0,8.186014019884169e-05,0,-0.04030720828450285
